iter	Passed	Remaining
656	891	465
657	891	463
658	892	461
659	893	460
660	894	458
661	896	457
662	897	456
663	898	454
664	899	453
665	900	451
666	901	450
667	902	448
668	903	446
669	904	445
670	905	443
671	906	442
672	906	440
673	907	439
674	908	437
675	909	435
676	910	434
677	912	433
678	913	431
679	914	430
680	915	428
681	916	427
682	917	425
683	917	424
684	919	422
685	920	421
686	921	419
687	921	418
688	922	416
689	924	415
690	925	413
691	926	412
692	927	411
693	928	409
694	929	408
695	930	406
696	931	405
697	932	403
698	933	402
699	934	400
700	935	399
701	936	397
702	937	395
703	938	394
704	939	393
705	941	392
706	942	390
707	943	389
708	944	387
709	945	386
710	946	384
711	947	383
712	948	381
713	949	380
714	950	378
715	950	377
716	951	375
717	952	374
718	954	372
719	955	371
720	957	370
721	958	368
722	959	367
723	959	365
724	960	364
725	961	362
726	962	361
727	963	359
728	964	358
729	965	356
730	965	355
731	966	354
732	969	353
733	970	351
734	972	350
735	973	349
736	974	347
737	975	346
738	976	344
739	977	343
740	977	341
741	978	340
742	979	338
743	980	337
744	981	336
745	982	334
746	984	333
747	985	331
748	986	330
749	987	329
750	988	327
751	989	326
752	990	324
753	991	323
754	991	321
755	992	320
756	993	319
757	994	317
758	995	316
759	996	314
760	997	313
761	998	311
762	999	310
763	1001	309
764	1002	307
765	1003	306
766	1004	305
767	1004	303
768	1005	302
769	1006	300
770	1007	299
771	1008	297
772	1009	296
773	1010	294
774	1011	293
775	1011	292
776	1012	290
777	1013	289
778	1014	287
779	1016	286
780	1017	285
781	1018	283
782	1019	282
783	1020	281
784	1021	279
785	1022	278
786	1022	276
787	1024	275
788	1025	274
789	1025	272
790	1026	271
791	1027	269
792	1028	268
793	1030	267
794	1031	266
795	1032	264
796	1033	263
797	1034	261
798	1035	260
799	1036	259
800	1037	257
801	1038	256
802	1039	254
803	1040	253
804	1040	252
805	1041	250
806	1042	249
807	1043	247
808	1044	246
809	1045	245
810	1047	244
811	1048	242
812	1049	241
813	1049	239
814	1050	238
815	1051	237
816	1052	235
817	1053	234
818	1054	233
819	1055	231
820	1056	230
821	1056	228
822	1058	227
823	1059	226
824	1060	224
825	1061	223
826	1062	222
